Street,Time,Severity,lat,long
US-75 S,16,115,32.77879,-96.782021
US-75 S,17,98,32.77879,-96.782021
US-75 S,18,94,32.77879,-96.782021
US-75 S,10,74,32.77879,-96.782021
US-75 S,7,107,32.77879,-96.782021
US-75 S,19,72,32.77879,-96.782021
US-75 S,8,95,32.77879,-96.782021
US-75 S,13,86,32.77879,-96.782021
US-75 S,14,93,32.77879,-96.782021
US-75 S,11,60,32.77879,-96.782021
US-75 S,9,87,32.77879,-96.782021
US-75 S,12,65,32.77879,-96.782021
US-75 S,15,99,32.77879,-96.782021
US-75 S,6,82,32.77879,-96.782021
I-45 S,16,168,32.724277,-96.762245
I-45 S,18,133,32.724277,-96.762245
I-45 S,8,127,32.724277,-96.762245
I-45 S,11,103,32.724277,-96.762245
I-45 S,14,134,32.724277,-96.762245
I-45 S,10,106,32.724277,-96.762245
I-45 S,15,132,32.724277,-96.762245
I-45 S,17,140,32.724277,-96.762245
I-45 S,5,77,32.724277,-96.762245
I-45 S,19,106,32.724277,-96.762245
I-45 S,7,169,32.724277,-96.762245
I-45 S,6,158,32.724277,-96.762245
I-45 S,9,104,32.724277,-96.762245
I-45 S,20,64,32.724277,-96.762245
I-45 S,13,118,32.724277,-96.762245
I-45 S,12,95,32.724277,-96.762245
US-59 S,16,55,29.73126,-95.402122
US-59 S,17,62,29.73126,-95.402122
I-10 W,17,156,29.784716,-95.510841
I-10 W,9,112,29.784716,-95.510841
I-10 W,14,104,29.784716,-95.510841
I-10 W,8,130,29.784716,-95.510841
I-10 W,18,113,29.784716,-95.510841
I-10 W,16,162,29.784716,-95.510841
I-10 W,7,126,29.784716,-95.510841
I-10 W,5,60,29.784716,-95.510841
I-10 W,13,88,29.784716,-95.510841
I-10 W,11,92,29.784716,-95.510841
I-10 W,19,79,29.784716,-95.510841
I-10 W,12,102,29.784716,-95.510841
I-10 W,10,93,29.784716,-95.510841
I-10 W,6,102,29.784716,-95.510841
I-10 W,15,121,29.784716,-95.510841
I-610 E,17,64,29.697172,-95.288391
I-610 E,7,60,29.697172,-95.288391
